"Project","Segment","SRG","S","CBO","DIT","ILCOM","LOC","LOD","NOM"
"matis",16,3,2160,1.18079096045198,0.0338983050847458,0.977401129943503,49002,0.940544987757062,5.5819209039548
"githubprojects",16,3,1995,2.88333333333333,0.393333333333333,0.93,41054,0.61834425198,7.48
"gremlin",17,3,2278,1.39772727272727,0.363636363636364,0.590909090909091,7268,0.709419127215909,7.43181818181818
"jmxutils",17,3,2297,2.52941176470588,0.411764705882353,0.811764705882353,4832,0.979700115352941,4.28235294117647
"cwac-merge",17,3,2307,0,0,0,132,1,9
"magic-procedures",17,3,2177,1.60869565217391,0.304347826086957,0.347826086956522,1435,0.781245059304348,8.69565217391304
"makegood",17,3,2326,2.2896174863388,0.349726775956284,0.66120218579235,10455,0.821908354196721,4.54644808743169
"gherkin2",18,3,2459,3.51094890510949,0.861313868613139,0.992700729927007,61864,0.981609894569343,9.64963503649635
"aries",18,3,2492,0.125,0,0.75,402,0.630208333375,2.625
"wink",18,3,2466,2.81571146245059,0.351778656126482,0.798418972332016,186760,0.779987764405632,4.77470355731225
"robotium",18,3,2391,3.17647058823529,0.137254901960784,1.41176470588235,11823,0.342755481235294,10.3137254901961
"android-demos",18,3,2476,0.625,0,0,353,1,2
"bndtools",19,3,2719,1.64754098360656,0.129508196721311,0.762295081967213,42048,0.935674827072131,4.54262295081967
"sqlite-dialect",19,3,2631,0.666666666666667,0,1.33333333333333,349,0.988888889,11.3333333333333
"ftf",19,3,2628,5.45222929936306,0.598726114649682,1.26114649681529,24416,0.69950461211465,7.36942675159236
"addis",19,3,2648,5.77777777777778,0.338753387533875,0.901084010840108,52516,0.970168988848238,5.84281842818428
"jansi",19,3,2541,2.17647058823529,0.176470588235294,0.882352941176471,2533,0.787356810294118,13.3529411764706
"yuaminesweeper",16,3,NA,2.25,0.0625,0.75,1032,1,5.8125
